code,world,title,grade,difficulty,xp,coins,type,skill,speakLoad,speakOk,speakNo,question,answers,correctIndex,hint,illustration_prompt,audio_file,status,notes
AI-T-001,alphabet-island,Tap the Letter A,Toddler,Pre-Easy,5,3,tap,Visual letter recognition,,,,,,0,,,,🔴,
AI-T-002,alphabet-island,A is for Apple — Find It!,Toddler,Pre-Easy,5,3,tap,Letter-object matching,,,,,,0,,,,🔴,
AI-T-003,alphabet-island,Hello Letter B!,Toddler,Pre-Easy,5,3,tap,Letter introduction B,,,,,,0,,,,🔴,
AI-T-004,alphabet-island,B is for Butterfly — Tap!,Toddler,Pre-Easy,5,3,tap,Letter-object matching,,,,,,0,,,,🔴,
AI-T-005,alphabet-island,Find the Big Letter C,Toddler,Pre-Easy,5,3,tap,Visual scanning,,,,,,0,,,,🔴,
AI-T-006,alphabet-island,"D, E, F — Kivi's Letter March",Toddler,Pre-Easy,5,3,tap,Multi-letter recognition,,,,,,0,,,,🔴,
AI-T-007,alphabet-island,The Round Letter O,Toddler,Pre-Easy,5,3,tap,Shape-to-letter connection,,,,,,0,,,,🔴,
AI-T-008,alphabet-island,"Tall Letters: I, L, T",Toddler,Pre-Easy,5,3,tap,Visual discrimination,,,,,,0,,,,🔴,
AI-T-009,alphabet-island,Kivi Sings the Vowels: A E I O U 🎵,Toddler,Pre-Easy,5,3,sing,Vowel introduction (song),,,,,,0,,,,🔴,
AI-T-010,alphabet-island,Letters in My Name,Toddler,Pre-Easy,5,3,tap,Personal letter connection,,,,,,0,,,,🔴,
AI-T-011,alphabet-island,"Big A, Small a — Match Them!",Toddler,Pre-Easy,5,3,tap,Upper/lower case match,,,,,,0,,,,🔴,
AI-T-012,alphabet-island,The Alphabet Rainbow A–E,Toddler,Pre-Easy,5,3,tap,Sequential letter order,,,,,,0,,,,🔴,
AI-T-013,alphabet-island,The Alphabet Rainbow F–J,Toddler,Pre-Easy,5,3,tap,Sequential letter order,,,,,,0,,,,🔴,
AI-T-014,alphabet-island,The Alphabet Rainbow K–Z,Toddler,Pre-Easy,5,3,tap,Sequential letter order,,,,,,0,,,,🔴,
AI-T-015,alphabet-island,Kivi's Full Alphabet Parade,Toddler,Pre-Easy,5,3,tap,A–Z celebration,,,,,,0,,,,🔴,
MM-T-001,math-mountain,"Count the Coconuts: 1, 2, 3",Toddler,Pre-Easy,5,3,tap,Counting 1–3,,,,,,0,,,,🔴,
MM-T-002,math-mountain,One More Coconut! (1–5),Toddler,Pre-Easy,5,3,tap,Counting 1–5,,,,,,0,,,,🔴,
MM-T-003,math-mountain,Big and Small: Sort Them!,Toddler,Pre-Easy,5,3,drag,Size comparison,,,,,,0,,,,🔴,
MM-T-004,math-mountain,"Circle, Square, Triangle — Find Them",Toddler,Pre-Easy,5,3,tap,2D shape recognition,,,,,,0,,,,🔴,
MM-T-005,math-mountain,Tap the Red Shape,Toddler,Pre-Easy,5,3,tap,Colour + shape,,,,,,0,,,,🔴,
MM-T-006,math-mountain,Which Has More? (1–3),Toddler,Pre-Easy,5,3,tap,Quantity comparison,,,,,,0,,,,🔴,
MM-T-007,math-mountain,Tall and Short with Kivi,Toddler,Pre-Easy,5,3,tap,Height comparison,,,,,,0,,,,🔴,
MM-T-008,math-mountain,Shape Sort: Put Them in the Box,Toddler,Pre-Easy,5,3,drag,Shape categorisation,,,,,,0,,,,🔴,
MM-T-009,math-mountain,Kivi's Counting Song 1–5 🎵,Toddler,Pre-Easy,5,3,sing,Counting song,,,,,,0,,,,🔴,
MM-T-010,math-mountain,Pattern Fun: Red Blue Red… 🎵,Toddler,Pre-Easy,5,3,sing,AB pattern + pattern song,,,,,,0,,,,🔴,
SN-AU-001,cross-world,My Morning Routine with Kivi,All,Pre-Easy,5,3,read,Daily routine: morning,,,,,,0,,,,🔴,
SN-AU-002,cross-world,Getting Dressed: Step by Step,All,Pre-Easy,5,3,read,Self-care: dressing,,,,,,0,,,,🔴,
SN-AU-003,cross-world,Breakfast Time!,All,Pre-Easy,5,3,read,Daily routine: eating,,,,,,0,,,,🔴,
SN-AU-004,cross-world,Going to School with Kivi,All,Pre-Easy,5,3,read,School transition,,,,,,0,,,,🔴,
SN-AU-005,cross-world,Saying Hello to a New Friend,All,Pre-Easy,5,3,read,Social: greetings,,,,,,0,,,,🔴,
SN-AU-006,cross-world,Taking Turns at Play,All,Pre-Easy,5,3,read,Social: turn-taking,,,,,,0,,,,🔴,
SN-AU-007,cross-world,Sharing My Toys,All,Pre-Easy,5,3,read,Social: sharing,,,,,,0,,,,🔴,
SN-AU-008,cross-world,When I Feel Angry,All,Pre-Easy,5,3,read,Emotions: managing anger,,,,,,0,,,,🔴,
SN-AU-009,cross-world,When I Feel Sad,All,Pre-Easy,5,3,read,Emotions: managing sadness,,,,,,0,,,,🔴,
SN-AU-010,cross-world,When I Feel Scared,All,Pre-Easy,5,3,read,Emotions: managing fear,,,,,,0,,,,🔴,
